,movieId,电影名称,上映天数,累计票房,实时票房,票房占比,排片占比,上座率,排座占比,场次,人次,场均人次,场均收入,平均票价
2018-01-01,10190,前任3：再见前任,4,4.19亿,1.24亿,33.77,20.55,76.35,22.33,6.48万,351.53万,55,1912,35
2018-01-01,94906,芳华,18,12.50亿,6299.2万,17.16,14.76,47.93,18.23,4.66万,180.16万,39,1352,34
2018-01-01,95289,妖铃铃,4,3.02亿,5009.5万,13.64,18.22,39.32,17.73,5.75万,143.76万,26,871,34
2018-01-01,95034,二代妖精之今生有幸,4,2.07亿,3733.5万,10.17,13.94,39.68,12.89,4.40万,105.50万,24,848,35
2018-01-01,95251,解忧杂货店,4,1.85亿,3225.8万,8.79,14.03,38.7,12.28,4.43万,97.96万,23,728,32
2018-01-01,63014,妖猫传,11,4.90亿,2124.7万,5.79,5.72,46.98,5.92,1.80万,57.34万,32,1177,37
2018-01-01,95322,寻梦环游记,39,11.74亿,2106万,5.74,4.94,62.62,4.92,1.56万,63.49万,41,1351,33
2018-01-01,94973,机器之血,11,2.97亿,565.9万,1.54,1.72,54.43,1.39,5440,15.57万,29,1040,36
2018-01-01,95307,帕丁顿熊2,25,2.02亿,329.7万,0.9,0.79,79.36,0.62,2490,10.21万,42,1324,32
2018-01-01,94870,心理罪之城市之光,11,2.17亿,289.7万,0.79,1.11,56.87,0.68,3509,7.98万,23,825,36
2018-01-01,95431,小猫巴克里,3,905.2万,276万,0.75,1.51,35.51,1.33,4774,9.70万,21,578,28
2018-01-01,95362,咕噜咕噜美人鱼2,3,833.6万,240.7万,0.66,1.88,33.18,1.31,5924,8.98万,16,406,26
2018-01-01,95340,至爱梵高·星空之谜,25,6689.8万,59.9万,0.16,0.21,58.22,0.14,652,1.70万,27,919,35
2018-01-01,10195,奇门遁甲,19,2.99亿,14万,0.04,0.16,23.76,0.08,519,3875,8,268,36
2018-01-01,95294,妈妈咪鸭,-67,12.6万,12.6万,0.03,0.01,100,0,26,3615,140,4861,34
2018-01-01,95344,至暗时刻,32,3681.6万,8.3万,0.02,0.01,100,0,46,1668,37,1797,49
