,movieId,电影名称,导演,主演,地区,片长
0,10266,相声大电影之我要幸福,张鹤栾,郭德纲,中国大陆,92分钟
0,10287,嘻哈英熊,王琦,林强,中国大陆,86分钟
0,10313,我说的都是真的,刘仪伟,小沈阳,中国大陆,99分钟
0,10323,星球大战：最后的绝地武士,莱恩,黛茜·雷德利,美国,152分钟
0,10331,西游记女儿国,郑保瑞,郭富城,中国大陆,116分钟
0,47656,小萝莉的猴神大叔,卡比尔,萨尔曼,印度,141分钟
0,94864,路过未来,李睿珺,杨子姗,中国大陆,129分钟
0,94870,心理罪之城市之光,徐纪周,邓超,中国大陆,124分钟
0,94873,断片之险途夺宝,罗登,葛优,中国大陆,95分钟
0,94882,神探狗笨吉,布兰登,加布里埃尔·贝特曼,美国,87分钟
0,94891,无问西东,李芳芳,章子怡,中国大陆,138分钟
0,94898,泡菜爱上小龙虾,虞军豪,金基范,中国大陆,100分钟
0,94906,芳华,冯小刚,黄轩,中国大陆,136分钟
0,94925,幸福马上来,冯巩,冯巩,中国大陆,91分钟
0,94959,狄仁杰之四大天王,徐克,赵又廷,中国大陆,132分钟
0,94973,机器之血,张立嘉,成龙,中国大陆,110分钟
0,94983,谜巢,金波,李冰冰,中国大陆,91分钟
0,95021,金蝉脱壳2,史蒂芬,西尔维斯特·史泰龙,美国,93分钟
0,95024,营救汪星人,梁婷,成毅,中国大陆,105分钟
0,95034,二代妖精之今生有幸,肖洋,冯绍峰,中国大陆,110分钟
0,95067,玲珑井,海鹏,宋睿,中国大陆,81分钟
0,95080,暮光巴黎,万沥方,玛丽·布奈尔,中国大陆,91分钟
0,95088,赛尔号大电影6：圣者无敌,王章俊,罗玉婷,中国大陆,98分钟
0,95089,红海行动,林超贤,张译,中国大陆,138分钟
0,41845,龙凤斗,杜琪峰,郑秀文,中国香港,91分钟
0,95125,我不是药神,文牧野,徐峥,中国大陆,117分钟
0,95126,战神纪,哈斯朝鲁,陈伟霆,中国大陆,119分钟
0,39841,阿飞正传,王家卫,张国荣,中国香港,94分钟
0,95142,摇滚小子,段玉宝,安琥,中国大陆,96分钟
0,95150,旗袍先生,王择谚,王煜,中国大陆,93分钟
0,95152,泡芙小姐,张歆艺,张歆艺,中国大陆,96分钟
0,95154,巨额来电,彭顺,陈学冬,中国大陆,123分钟
0,95155,马戏之王,迈克尔,休·杰克曼,美国,106分钟
0,95157,醉佳导演,武圣基,贺军翔,中国大陆,89分钟
0,95167,灵魂当铺之时间典当,刘赫尧,姚奕辰,中国大陆,86分钟
0,95175,暴裂无声,忻钰坤,宋洋,中国大陆,120分钟
0,95191,环太平洋：雷霆再起,斯蒂文,约翰·波耶加,美国,111分钟
0,95210,昨日青空,奚超,苏尚卿,中国大陆,85分钟
0,95221,深海越狱,帕夏,尚格·云顿,美国,104分钟
